CompanyID,CompanyName,CountryID,
1,Siemens AG,1,
2,Schneider Electric,2,
3,Philips Lighting,3,
4,ADT Security Services,4,
5,TechTronics LLC,4,
6,Innovatech Corp,4,
7,SmartHome Solutions Inc,4,
8,EcoFriendly Systems Ltd,4,
9,Digital Dynamics Inc,4,
10,NextGen Innovations LLC,4,
11,ElectroFlow Co,4,
12,HomeGuard Inc,4,
13,GreenTech Ltd,4,
14,SecureHomes PLC,4,
15,IntelliHome Corp,4,
16,FutureLiving Co,4,
17,EcoLiving Systems Inc,1,
18,SmartGuard Technologies Ltd,1,
19,Connectify Corp,1,
20,Automatech Solutions Inc,1,
21,Homey Technologies Ltd,1,
22,TechGuard Co,5,
23,Smartify Solutions Inc,5,
24,EnergySaver Technologies Ltd,5,
25,ComfortLiving Inc,2,
26,ControlPlus Co,2,
27,TechHarmony Ltd,2,
28,SafetyNet Technologies Inc,2,
29,EcoSense Solutions Ltd,2,
30,DigitalComfort Inc,2,
31,EcoSmart Technologies Inc,6,
32,GuardTech Ltd,6,
33,HomeNet Solutions Inc,6,
34,IntelliGuard Co,6,
35,Automatech Innovations Inc,3,
36,DigitalHome Co,3,
37,SecureNet Technologies Ltd,3,
38,EcoControl Systems Inc,7,
39,SmartLiving Solutions Inc,7,
40,IntelligentHome Co,7,
41,NextGenHome Corp,7,
42,SmartSecure Co,8,
43,EcoGuard Technologies Inc,8,
44,HomeComfort Ltd,8,
45,TechSolutions PLC,9,
46,GreenGuard Co,9,
47,IntelliTech Solutions Inc,9,
48,SmartLife Technologies Ltd,10,
49,ControlTech Co,10,
50,HomeSafe Inc,10,
